,Sample_ID,Population,Group,Lat,Long,Length (mm),CRT_ELAI,IRT_ELAI,RBT_ELAI,WCT_ELAI,YCT_ELAI
Lower Kootenai R,,,,,,,,,,,
,Porcupine_23_124,Porcupine_LakeCr,Lo_Kootenai_R,48.34222,-115.83213,120,0.005286262,0,0.005286262,0.994713738,0
,Porcupine_23_125,Porcupine_LakeCr,Lo_Kootenai_R,48.34222,-115.83213,104,0.014154444,0.000983895,0.015138339,0.984861661,0
,Porcupine_23_126,Porcupine_LakeCr,Lo_Kootenai_R,48.34222,-115.83213,140,0.013900442,0.000359224,0.014259666,0.985740334,0
,Porcupine_23_127,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,163,8.35E-05,4.79E-05,0.000131395,0.999868605,0
,Porcupine_23_128,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,207,0,0,0,1,0
,Porcupine_23_129,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,156,0,0,0,1,0
,Porcupine_23_130,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,135,0,4.56E-07,4.56E-07,0.999999544,0
,Porcupine_23_131,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,139,0,1.60E-05,1.60E-05,0.999983972,0
,Porcupine_23_132,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,64,5.87E-06,0.00012689,0.000132765,1.00E+00,0
,Porcupine_23_133,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,103,0,0,0,1,0
,Porcupine_23_134,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,115,0.014609551,0,0.014609551,0.985390449,0.00E+00
,Porcupine_23_135,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,130,0,0,0,1,0
,Porcupine_23_136,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,140,0,0,0,1,0
,Porcupine_23_137,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,124,0,0,0,1,0
,Porcupine_23_138,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,75,0.001667532,0,0.001667532,9.98E-01,0
,Porcupine_23_139,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,67,0.00240349,0,0.00240349,0.99759651,0
,Porcupine_23_140,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,60,0,0,0,1,0
,Porcupine_23_141,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,58,0.004469834,0.002558163,0.007027997,0.992972003,0
,Porcupine_23_142,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,70,0.006567936,0,0.006567936,0.993432064,0
,Porcupine_23_143,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,74,0,0,0,1,0
,Porcupine_23_144,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,74,0.011370167,0.00022918,0.011599347,0.988400653,0
,Porcupine_23_145,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,75,0.002047735,0,0.002047735,0.997952265,0
,Porcupine_23_146,Porcupine_LakeCr,Lo_Kootenai_R,48.34217,-115.82544,70,4.92E-08,3.77E-05,3.78E-05,0.999962234,0
,,,,,,,,,,,
,OBrien_11_486,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.397888795,0.515118857,0.913007652,0.086992348,0
,OBrien_11_487,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.314606806,0.468696455,0.783303262,0.216696738,0
,OBrien_11_488,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.374613781,0.547441472,0.922055253,0.077944747,0
,OBrien_11_489,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.270419027,0.581174791,0.851593818,0.148406182,0
,OBrien_11_490,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.312247636,0.612844632,0.925092267,0.072161348,0.002746385
,OBrien_11_491,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.249849944,0.363153564,0.613003508,0.386996492,0
,OBrien_11_492,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.362432422,0.594536001,0.956968422,0.043031578,0
,OBrien_11_493,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.413678607,0.551455944,0.965134551,0.034865449,0
,OBrien_11_494,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.325835719,0.438268184,0.764103903,0.235896097,0
,OBrien_11_495,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.470742756,0.447428559,0.918171315,0.081223432,0.000605253
,OBrien_11_496,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.193081909,0.345320831,0.53840274,0.46159726,0
,OBrien_11_497,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.155062579,0.449487752,0.604550331,0.395449669,0
,OBrien_11_498,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.242851333,0.476344372,0.719195705,0.280804295,0
,OBrien_11_499,OBrien_Up,Lo_Kootenai_R,NA,NA,NA,0.346213837,0.22027472,0.566488557,0.43264255,0.000868893
Yaak Drainage,,,,,,,,,,,
,KilbCk_20_01,Kilbrennen,Yaak_River,48.598861,-115.88746,135,0.145858829,0.850297427,0.996156256,0.003843744,0
,KilbCk_20_02,Kilbrennen,Yaak_River,48.605506,-115.894805,114,0.11533943,0.882694288,0.998033718,0.001966282,0
,KilbCk_20_03,Kilbrennen,Yaak_River,48.598861,-115.88746,94,0.127999496,0.86862284,0.996622336,0.003377664,0
,KilbCk_20_04,Kilbrennen,Yaak_River,48.605506,-115.894805,111,0.115651982,0.883458199,0.99911018,0.00088982,0
,KilbCk_20_05,Kilbrennen,Yaak_River,48.598861,-115.88746,102,0.117260594,0.878191853,0.995452448,0.004547552,0
,KilbCk_20_06,Kilbrennen,Yaak_River,48.598861,-115.88746,126,0.100926973,0.898580288,0.999507261,0.000492739,0
,KilbCk_20_07,Kilbrennen,Yaak_River,48.598861,-115.88746,96,0.122600054,0.872294207,0.994894261,0.005105739,0
,KilbCk_20_08,Kilbrennen,Yaak_River,48.598861,-115.88746,125,0.117779699,0.880320998,0.998100697,0.001899303,0
,KilbCk_20_09,Kilbrennen,Yaak_River,48.605506,-115.894805,129,0.084928994,0.911516856,0.996445851,0.003554149,0
,KilbCk_20_10,Kilbrennen,Yaak_River,48.598861,-115.88746,198,0.13148104,0.864880558,0.996361597,0.003638403,0
,KilbCk_20_11,Kilbrennen,Yaak_River,48.605506,-115.894805,120,0.1318968,0.864272717,0.996169517,0.003830483,0
,KilbCk_20_12,Kilbrennen,Yaak_River,48.598861,-115.88746,107,0.103050532,0.89610239,0.999152922,0.000847078,0
,KilbCk_20_13,Kilbrennen,Yaak_River,48.598861,-115.88746,95,0.12851893,0.869633641,0.998152571,0.001847429,0
,KilbCk_20_14,Kilbrennen,Yaak_River,48.598861,-115.88746,144,0.157797894,0.841236124,0.999034018,0.000965982,0
,KilbCk_20_15,Kilbrennen,Yaak_River,48.598861,-115.88746,116,0.124533513,0.873322036,0.997855549,0.002144451,0
,KilbCk_20_16,Kilbrennen,Yaak_River,48.605506,-115.894805,152,0.12413262,0.872474894,0.996607514,0.003392486,0
,KilbCk_20_17,Kilbrennen,Yaak_River,48.605506,-115.894805,150,0.148243074,0.85087739,0.999120464,0.000879536,0
,KilbCk_20_18,Kilbrennen,Yaak_River,48.598861,-115.88746,147,0.159512323,0.839146359,0.998658682,0.001341318,0
,KilbCk_20_19,Kilbrennen,Yaak_River,48.598861,-115.88746,97,0.089672038,0.90677216,0.996444198,0.003555802,0
,KilbCk_20_20,Kilbrennen,Yaak_River,48.598861,-115.88746,101,0.128541833,0.868776646,0.997318478,0.002681522,0
,KilbCk_20_21,Kilbrennen,Yaak_River,48.598861,-115.88746,100,0.138363902,0.859860461,0.998224363,0.001775637,0
,KilbCk_20_22,Kilbrennen,Yaak_River,48.598861,-115.88746,103,0.112428329,0.886107448,0.998535778,0.001464222,0
,KilbCk_20_23,Kilbrennen,Yaak_River,48.605506,-115.894805,119,0.119338412,0.879640528,0.998978941,0.001021059,0
,KilbCk_20_24,Kilbrennen,Yaak_River,48.598861,-115.88746,132,0.136083392,0.860159476,0.996242868,0.003757132,0
,KilbCk_20_25,Kilbrennen,Yaak_River,48.598861,-115.88746,140,0.092548034,0.90640846,0.998956494,0.001043506,0
,KilbCk_20_26,Kilbrennen,Yaak_River,48.605506,-115.894805,137,0.10690208,0.889668216,0.996570296,0.003429704,0
,KilbCk_20_27,Kilbrennen,Yaak_River,48.598861,-115.88746,140,0.120726062,0.876032,0.996758061,0.003241939,0
,KilbCk_20_28,Kilbrennen,Yaak_River,48.598861,-115.88746,106,0.09712732,0.901167014,0.998294333,0.001705667,0
,KilbCk_20_29,Kilbrennen,Yaak_River,48.598861,-115.88746,123,0.13609376,0.863327672,0.999421432,0.000578568,0
,KilbCk_20_30,Kilbrennen,Yaak_River,48.605506,-115.894805,187,0.163532478,0.832408055,0.995940533,0.004059467,0
,,,,,,,,,,,
,YaakRBF_11_265,Lo_Yaak_R,Yaak_River,48.64418,-115.8857,NA,0.213042064,0.784179604,0.997221668,0.002778332,0
,YaakRBF_11_282,Lo_Yaak_R,Yaak_River,48.64418,-115.8857,NA,0.224676787,0.773784513,0.9984613,0.001516786,2.19E-05
,YaakRBF_11_283,Lo_Yaak_R,Yaak_River,48.64418,-115.8857,NA,0.136817887,0.8606586,0.997476487,0.002523513,0
,YaakRBF_11_284,Lo_Yaak_R,Yaak_River,NA,NA,NA,0.179213275,0.817916216,0.997129491,0.002870509,0
,YaakRBF_11_286,Lo_Yaak_R,Yaak_River,48.64418,-115.8857,NA,0.124381078,0.873660756,0.998041833,0.001958167,0
,YaakRBF_11_287,Lo_Yaak_R,Yaak_River,48.64418,-115.8857,NA,0.145951106,0.84714277,0.993093876,0.006906124,0
,YaakRBF_11_288,Lo_Yaak_R,Yaak_River,NA,NA,NA,0.133229819,0.862374782,0.995604601,0.004395399,0
,YaakRBF_11_289,Lo_Yaak_R,Yaak_River,48.64418,-115.8857,NA,0.123982459,0.874869994,0.998852453,0.001147547,0
,YaakRBF_11_290,Lo_Yaak_R,Yaak_River,NA,NA,NA,0.177987789,0.820390687,0.998378476,0.001621524,0
,,,,,,,,,,,
,S17mile_23_151,Seventeen_Mile,Yaak_River,48.624601,-115.715797,201,0,0.002499538,0.002499538,0.997500462,0
,S17mile_23_152,Seventeen_Mile,Yaak_River,48.624601,-115.715797,205,0.01838141,0.112915574,0.131296984,0.868703016,0
