Sample_ID	RBT_ELAI	WCT_ELAI	YCT_ELAI	# Heterokaryotypic Inversions
BearUp_22_20	0.997609596	0.002390404	0	0
BearUp_22_21	0.993989971	0.006010029	0	0
BearUp_22_22	0.998323487	0.001676513	0	0
BearUp_22_23	0.998475557	0.001524443	0	0
BearUp_22_24	0.998727657	0.001272343	0	0
BearUp_22_25	0.99009005	0.00990995	0	0
BearUp_22_26	0.993205733	0.006794267	0	0
BearUp_22_27	0.99719308	0.00280692	0	0
BearUp_22_28	0.995992365	0.004007635	0	0
BearUp_22_29	0.999181745	0.000818255	0	0
BearUp_22_30	0.999297384	0.000702616	0	0
BearUp_22_31	0.998648191	0.001351809	0	0
BearUp_22_32	0.996869237	0.003130763	0	0
BearUp_22_33	0.996428397	0.003571603	0	0
BearUp_22_34	0.995867888	0.004132112	0	0
BearUp_22_35	0.993810286	0.006189714	0	0
BearUp_22_36	0.996486278	0.003513722	0	0
BearUp_22_37	0.997129957	0.002870043	0	0
BearUp_22_39	0.996338829	0.003661171	0	0
BearUp_22_41	0.995631657	0.004368343	0	0
BearUp_22_44	0.998161829	0.001838171	0	0
BearUp_22_45	0.997757239	0.002242761	0	0
BearUp_22_46	0.996247001	0.003752999	0	0
BearUp_22_47	0.998648486	0.001351514	0	0
BearUp_22_48	0.997484881	0.002515119	0	0
BearUp_22_49	0.996781502	0.003218498	0	0
BearUp_22_50	0.991755003	0.008244997	0	0
BearUp_22_51	0.998793789	0.001206211	0	0
BearUp_22_52	0.995612932	0.004387068	0	0
BearUp_22_54	0.994075309	0.005924691	0.00E+00	0
BearUp_22_55	0.996573772	0.003426228	0	0
BearUp_22_56	0.99514731	0.004851903	7.88E-07	0
BearUp_22_59	0.995444448	0.004555552	0	0
BearUp_22_60	0.997914729	0.002085271	0	0
BearUp_22_61	0.987634917	0.012365083	0	0
BearUp_22_62	0.996539557	0.003460443	0	0
BearUp_22_63	0.999141887	0.000858113	0.00E+00	0
BearUp_22_64	0.997418955	0.002581045	0	0
BearUp_22_65	0.995574123	0.004425877	0	0
BearUp_22_66	0.99489707	0.00510293	0	0
BearUp_22_67	0.997085142	0.002914858	0	0
BearUp_22_68	0.996649835	0.003350165	0	0
BearUp_22_69	0.999179005	0.000820995	0	0
BearUp_22_70	1	0	0	0
BearUp_22_71	0.997374984	0.002625016	0	0
BearUp_22_72	1	0	0	0
BearUp_22_73	0.999639762	0.000360238	0	0
BearUp_22_74	0.9978482	0.0021518	0	0
BearUp_22_75	0.997761063	0.002238937	0	0
BearUp_22_77	0.997420323	0.002579677	0	0
BearUp_22_78	0.997327162	0.002672838	0	0
BearUp_22_80	0.996729772	0.003270228	0	0
BearUp_22_81	0.993533683	0.006465805	5.11E-07	0
BearUp_22_82	0.991928176	0.008071824	0	0
BearUp_22_83	0.998317748	0.001682252	0	0
BearUp_22_84	0.998300362	0.001699638	0	0
BearUp_22_85	0.99706346	0.00293654	0	0
BearUp_22_86	0.995997558	0.004002442	0	0
BearUp_22_87	0.990754707	0.009245293	0	0
BearUp_22_88	0.99376463	0.00623537	0	0
BearUp_22_89	0.997801851	0.002198149	0	0
BearUp_22_90	0.995409231	0.004590769	0	0
BearUp_22_91	0.997790342	0.002209658	0	0
BearUp_22_92	0.988557835	0.011442165	0	0
BearUp_22_93	0.995617693	0.004382307	0	0
BearUp_22_94	0.991467105	0.008532895	0	0
BearUp_22_95	0.997338456	0.002661544	0	0
BearUp_22_96	0.99498327	0.00501673	0	0
BearUp_22_97	0.996377915	0.003622085	0	0
BearUp_22_98	0.997507197	0.002492803	0	0
BearUp_22_99	0.997984281	0.002015719	0	0
Beetle_23_421	0.000190764	0.999809236	0	0
Beetle_23_422	0.001166228	0.998833772	0	0
Beetle_23_423	0.000519326	0.999480674	0	0
Beetle_23_424	0	1	0	0
Beetle_23_425	0.001351859	0.998648141	0	0
Beetle_23_426	0.000599715	0.999400285	0	0
Beetle_23_427	0	1	0	0
Beetle_23_428	0.00078297	0.99921703	0	0
Beetle_23_429	0.001677634	0.998322366	0	0
Beetle_23_430	0.002492873	0.997507127	0	0
Beetle_23_431	0.000806411	0.999193589	0	0
Beetle_23_432	0.000961167	0.999038833	0	0
Beetle_23_433	0.00281893	0.99718107	0	0
Beetle_23_434	0.000372956	0.999627044	0	0
Beetle_23_435	0.001195563	0.998804437	0	0
Beetle_23_436	0	1	0	0
Beetle_23_437	0.000186614	0.999813386	0	0
Beetle_23_438	0.001831633	0.998168367	0	0
Beetle_23_439	0.002990854	0.997009146	0	0
Beetle_23_440	0.005707372	0.994292628	0	0
Beetle_23_441	0	1	0	0
Beetle_23_442	0.001064889	0.998935111	0	0
Beetle_23_443	0.002629478	0.997370522	0	0
Beetle_23_444	0.000638348	0.999361652	0	0
Beetle_23_445	0.001987429	0.998012571	0	0
Beetle_23_446	0.000726781	0.999273219	0	0
Beetle_23_447	0.001811872	0.998188128	0	0
Beetle_23_448	0.001980078	0.998019922	0	0
Beetle_23_449	0.001864165	0.998135835	0	0
Beetle_23_450	0.002092981	0.997907019	0	0
Bobtail_11_232	0.991737703	0.008262297	0	0
Bobtail_11_240	0.991621672	0.006026719	0.00235161	0
Bram_17_01	0.018026903	0.981973097	0	0
Bram_17_02	0.037844887	0.962155113	0	0
Bram_17_03	0.013605775	0.986394225	0	0
Bram_17_04	0.014620635	0.985379365	0	0
