sample_id	population	group
SLFH_24_13	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_14	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_15	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_16	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_17	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_18	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_19	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_20	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_21	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_22	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_23	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_24	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_25	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_26	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_27	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_28	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_29	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_30	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_31	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_32	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_33	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_34	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_35	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_36	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_37	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_38	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_39	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_40	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_41	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_42	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_43	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_44	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_45	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_46	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_47	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_48	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_49	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_50	Sam_Livingston_FH	Alberta_Hatch
SR_HL_0507	Harvey_Lk	Athabasca_Hatch
SR_HL_0525	Harvey_Lk	Athabasca_Hatch
SR_HL_0526	Harvey_Lk	Athabasca_Hatch
SR_HL_0528	Harvey_Lk	Athabasca_Hatch
SR_HL_0536	Harvey_Lk	Athabasca_Hatch
Star_11_293	Lo_Star	Kootenai
Star_11_297	Lo_Star	Kootenai
STHD_13_419	Vancouver_Is	Steelhead
STHD_17_9483	Vancouver_Is	Steelhead
TC_15_12	Two	Athabasca
Troy_11_05	Kootenai_R	Kootenai_R
Troy_11_06	Kootenai_R	Kootenai_R
Troy_11_14	Kootenai_R	Kootenai_R
Troy_11_22	Kootenai_R	Kootenai_R
Troy_11_29	Kootenai_R	Kootenai_R
UpperCedarLk_20_011	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_012	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_014	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_015	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_016	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_017	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_018	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_019	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_021	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_022	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_023	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_024	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_025	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_026	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_027	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_028	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_029	Up_Cedar_Lk	Kootenai
UpperCedarLk_20_030	Up_Cedar_Lk	Kootenai
