Sample_ID	pCRT	pIRT	pRBT	pWCT	pYCT
BearCreek_20_030	0.009803922	0.983050847	0.994947005	0.0053384	0.000138677
BearCreek_20_031	0.137254902	0.935897436	0.993850138	0.007275954	6.76773E-05
BearCreek_20_032	0.019607843	0.978070175	0.996230209	0.003405744	7.0373E-05
BearCreek_20_033	0	0.939655172	0.992340287	0.007229561	0.000136203
BearCreek_20_034	0.039215686	0.957627119	0.992613224	0.006914894	0.000405844
BearCreek_20_035	0.039215686	0.99137931	0.996229322	0.003739982	6.78794E-05
BearCreek_20_036	0.039215686	0.903508772	0.998784145	0.001868327	0.000203638
BearCreek_20_037	0.020833333	0.972972973	0.994493022	0.005749258	0.000211745
BearCreek_20_038	0.023809524	0.968421053	0.99628801	0.002563531	0
BearCreek_20_039	0.019607843	0.97008547	0.991229488	0.00996264	6.76315E-05
BearCreek_20_040	0	0.995762712	0.99046066	0.008779789	6.8055E-05
BearCreek_20_041	0.039215686	0.952586207	0.994191242	0.007479964	0.000136017
BearCreek_20_042	0.009803922	0.978448276	0.996886267	0.003413582	0.000275028
BearCreek_20_043	0.112244898	0.933962264	0.991537864	0.008244882	0.000145033
BearCreek_20_044	0.019607843	0.957264957	0.985027517	0.01582785	0.000135281
BearCreek_20_045	0.039215686	0.978813559	0.992888314	0.010464704	0.000135153
BearCreek_20_046	0.13	0.948275862	0.987924497	0.012267725	0.000137665
BearCreek_20_047	0.068627451	0.94017094	0.99434252	0.005781889	0.000202703
BearCreek_20_048	0.019607843	0.953389831	0.993619255	0.007632233	0.0001353
BearCreek_20_049	0.019607843	0.995689655	0.990156837	0.009249282	0.000341997
BearCreek_20_050	0.009803922	0.991525424	0.993417333	0.007726465	6.76133E-05
BearCreek_20_051	0.098039216	0.966101695	0.995087292	0.004456328	0.000136221
BearCreek_20_052	0.156862745	0.942477876	0.996709725	0.003477796	0.000136166
BearCreek_20_053	0.04	0.957264957	0.992512411	0.007128854	0.000204527
BearCreek_20_054	0.02	0.957264957	0.992740693	0.007304472	0.00020339
BearCreek_20_055	0.049019608	0.962616822	0.992405968	0.007424775	0.000222387
