sample_id	population	group
MK1_23_04	Mink	Athabasca
MK2_23_01	Mink	Athabasca
MK2_23_02	Mink	Athabasca
MK2_23_03	Mink	Athabasca
MK2_23_04	Mink	Athabasca
MK2_23_06	Mink	Athabasca
MK2_23_08	Mink	Athabasca
MK2_23_09	Mink	Athabasca
MK2_23_10	Mink	Athabasca
MK2_23_11	Mink	Athabasca
Pennask_17_60	Pennask_Lk	BC_Hatch
RBT10	RBT	Hatchery_CRT
RBT37	RBT	Hatchery_CRT
RBT46	RBT	Hatchery_CRT
SB2_23_01	Shiningbank	Athabasca
SB2_23_02	Shiningbank	Athabasca
SB2_23_03	Shiningbank	Athabasca
SB2_23_04	Shiningbank	Athabasca
SB2_23_05	Shiningbank	Athabasca
SB2_23_06	Shiningbank	Athabasca
SB2_23_07	Shiningbank	Athabasca
SB2_23_09	Shiningbank	Athabasca
SB2_23_10	Shiningbank	Athabasca
SB2_23_12	Shiningbank	Athabasca
SB2_23_13	Shiningbank	Athabasca
SB3_23_01	Shiningbank	Athabasca
SB3_23_03	Shiningbank	Athabasca
SB3_23_04	Shiningbank	Athabasca
SB3_23_05	Shiningbank	Athabasca
SB3_23_06	Shiningbank	Athabasca
SB3_23_08	Shiningbank	Athabasca
SR_HL_0528	Harvey_Lk	Athabasca_Hatch
SR_HL_0536	Harvey_Lk	Athabasca_Hatch
SWH4_23_63	S_Wildhay_R	Athabasca
TeigeW30_12_04	Teige	Athabasca
UNFR38_15_392	Freeman_R	Athabasca
UpW_17_07	Up_Wampus	Athabasca
UpW_17_10	Up_Wampus	Athabasca
UpW_17_11	Up_Wampus	Athabasca
UpW_17_12	Up_Wampus	Athabasca
UpWampus_17_02_1	Up_Wampus	Athabasca
UpWampus_17_06	Up_Wampus	Athabasca
W46_12_01	Wildhay_R	Athabasca
Weigle_17_075	Weigle	Kootenai
Weigle_17_076	Weigle	Kootenai
Weigle_17_079	Weigle	Kootenai
Weigle_17_083	Weigle	Kootenai
Weigle_17_084	Weigle	Kootenai
Weigle_17_088	Weigle	Kootenai
WMCC_14_08	Embarras_R	Athabasca
WMCC_14_10	Embarras_R	Athabasca
WMCC_14_12	Embarras_R	Athabasca
Wolf_17_241	Wolf_17	Kootenai
Wolf_17_242	Wolf_17	Kootenai
Wolf_17_243	Wolf_17	Kootenai
Wolf_17_244	Wolf_17	Kootenai
Wolf_17_245	Wolf_17	Kootenai
Wolf_17_246	Wolf_17	Kootenai
Wolf_17_247	Wolf_17	Kootenai
Wolf_17_248	Wolf_17	Kootenai
Wolf_17_249	Wolf_17	Kootenai
Wolf_17_250	Wolf_17	Kootenai
Wolf_20_045	Wolf_20	Kootenai
Wolf_24_001	Wolf_24	Kootenai
Wolf_24_002	Wolf_24	Kootenai
Wolf_24_003	Wolf_24	Kootenai
Wolf_24_004	Wolf_24	Kootenai
Wolf_24_005	Wolf_24	Kootenai
Wolf_24_006	Wolf_24	Kootenai
Wolf_24_007	Wolf_24	Kootenai
Wolf_24_008	Wolf_24	Kootenai
Wolf_24_009	Wolf_24	Kootenai
Wolf_24_010	Wolf_24	Kootenai
Wolf_24_011	Wolf_24	Kootenai
Wolf_24_012	Wolf_24	Kootenai
Wolf_24_013	Wolf_24	Kootenai
Wolf_24_014	Wolf_24	Kootenai
Wolf_24_015	Wolf_24	Kootenai
Wolf_24_016	Wolf_24	Kootenai
Wolf_24_017	Wolf_24	Kootenai
Wolf_24_018	Wolf_24	Kootenai
