Sample_ID	CRT_admix	IRT_admix	RBT_admix	WCT_admix	YCT_admix
BearCreek_20_006	0.014561	0.984992	0.999553	0.000437	0.00001
BearCreek_20_007	0.050682	0.947894	0.998576	0.001414	0.00001
BearCreek_20_008	0.008874	0.991106	0.99998	0.00001	0.00001
BearCreek_20_009	0.012289	0.985444	0.997733	0.002257	0.00001
BearCreek_20_010	0.0401	0.948555	0.988655	0.011335	0.00001
BearCreek_20_011	0.025983	0.972215	0.998198	0.001792	0.00001
BearCreek_20_012	0.037294	0.959565	0.996859	0.003131	0.00001
BearCreek_20_013	0.037761	0.955868	0.993629	0.006361	0.00001
BearCreek_20_014	0.02035	0.97963	0.99998	0.00001	0.00001
BearCreek_20_015	0.064291	0.931265	0.995556	0.004434	0.00001
BearCreek_20_016	0.034193	0.964625	0.998818	0.001172	0.00001
BearCreek_20_017	0.022759	0.976639	0.999398	0.000592	0.00001
BearCreek_20_018	0.052046	0.943362	0.995408	0.004582	0.00001
BearCreek_20_019	0.024898	0.971297	0.996195	0.003795	0.00001
BearCreek_20_020	0.046495	0.950761	0.997256	0.002735	0.00001
BearCreek_20_021	0.056912	0.939213	0.996125	0.003864	0.00001
BearCreek_20_023	0.028652	0.969586	0.998238	0.001752	0.00001
BearCreek_20_024	0.021428	0.977608	0.999036	0.000955	0.00001
BearCreek_20_025	0.058543	0.941437	0.99998	0.00001	0.00001
BearCreek_20_026	0.065711	0.932528	0.998239	0.001751	0.00001
BearCreek_20_027	0.049687	0.94517	0.994857	0.005134	0.00001
BearCreek_20_028	0.043265	0.950042	0.993307	0.006683	0.00001
BearCreek_20_029	0.063518	0.930549	0.994067	0.005924	0.00001
BearCreek_20_030	0.009049	0.988735	0.997784	0.002206	0.00001
BearCreek_20_031	0.080438	0.914368	0.994806	0.005185	0.00001
BearCreek_20_032	0.027499	0.971124	0.998623	0.001367	0.00001
BearCreek_20_033	0.058298	0.936894	0.995192	0.004799	0.00001
BearCreek_20_034	0.062338	0.932794	0.995132	0.004858	0.00001
BearCreek_20_035	0.01511	0.983454	0.998564	0.001425	0.00001
BearCreek_20_036	0.062509	0.937471	0.99998	0.00001	0.00001
BearCreek_20_037	0.029171	0.968012	0.997183	0.002807	0.00001
BearCreek_20_038	0.021918	0.978062	0.99998	0.00001	0.00001
BearCreek_20_039	0.020544	0.974302	0.994846	0.005144	0.00001
BearCreek_20_040	0.010974	0.983896	0.99487	0.00512	0.00001
BearCreek_20_041	0.018007	0.98022	0.998227	0.001763	0.00001
BearCreek_20_042	0.028852	0.969576	0.998428	0.001562	0.00001
BearCreek_20_043	0.065844	0.929774	0.995618	0.004373	0.00001
BearCreek_20_044	0.021115	0.966671	0.987786	0.012204	0.00001
BearCreek_20_045	0.015711	0.980157	0.995868	0.004122	0.00001
BearCreek_20_046	0.073054	0.918935	0.991989	0.008001	0.00001
BearCreek_20_047	0.063211	0.935054	0.998265	0.001725	0.00001
BearCreek_20_048	0.055049	0.940905	0.995954	0.004036	0.00001
BearCreek_20_049	0.039531	0.953741	0.993272	0.006718	0.00001
BearCreek_20_050	0.000011	0.996318	0.996329	0.003661	0.00001
BearCreek_20_051	0.047147	0.950596	0.997743	0.002247	0.00001
BearCreek_20_052	0.065691	0.933409	0.9991	0.00089	0.00001
BearCreek_20_053	0.047229	0.949478	0.996707	0.003283	0.00001
BearCreek_20_054	0.039399	0.955941	0.99534	0.00465	0.00001
BearCreek_20_055	0.020347	0.974102	0.994449	0.005541	0.00001
BearCreek_20_056	0.047869	0.950044	0.997913	0.002077	0.00001
