Sample_ID	CRT	IRT	RBT	WCT	YCT
GOC1_03_22	0.000252356	0	0.000252356	0.999747644	0
GoldL_16_37	0	0	0	1	0
GoldL_16_38	0	0.002663478	0.002663478	0.997336522	0
GoldL_16_39	0.000508854	0.000233835	0.000742689	0.999257311	0
GoldL_16_41	0.266895235	0.413768274	0.680663509	0.319336491	0
GoldL_16_45	0.000132705	0.000555428	0.000688133	0.999311867	0
GoldL_16_46	0	0	0	1	0
GoldL_16_48	0	0	0	1	0
GoldL_16_61	4.91829E-07	0.000000107	5.99156E-07	0.999999401	0
GoldL_16_63	0	0.000000884	8.83802E-07	0.999999116	0
GoldL_16_64	0.109615636	0.135309099	0.244924736	0.755075264	0
GoldL_16_65	0.00014129	0.000393593	0.000534883	0.999465117	0
GoldL_16_66	0.010322866	0.003861587	0.014184453	0.985815547	0
GoldL_16_68	5.0726E-07	0.002396522	0.002397029	0.997602971	0
GoldL_16_69	0.00010882	0.000685666	0.000794486	0.999205514	0
GoldL_16_70	9.80014E-06	0.000000243	1.00428E-05	0.999989957	0
GoldL_16_71	0.000349792	0.000124761	0.000474554	0.999525446	0
GoldL_16_72	0.000102363	0.0000235	0.000125849	0.999874151	0
GoldL_16_87	0	0.000287777	0.000287777	0.999712223	0
GoldL_16_95	0	0	0	1	0
GoldL_16_96	0.005397082	0.000498474	0.005895555	0.994104445	0
GR9	0.077843958	0.920138846	0.997982805	0.002017195	0
GraniteAB_19_01	0.005952547	0.97924565	0.985198197	0.014801803	0
GraniteAB_19_02	0.003259318	0.985412253	0.988671571	0.011328429	0
GraniteAB_19_03	0.006380534	0.977214331	0.983594865	0.016405135	0
GraniteAB_19_04	0.002419828	0.985422428	0.987842256	0.012157744	0
GraniteAB_19_05	0.007471794	0.980931705	0.9884035	0.0115965	0
GraniteAB_19_06	0.002351901	0.985140513	0.987492414	0.012507586	0
GraniteAB_19_07	0.001390271	0.981967454	0.983357725	0.016642275	0
GraniteAB_19_08	0.003496261	0.979723385	0.983219646	0.016780354	0
GraniteAB_19_09	0.006511429	0.978532047	0.985043477	0.014956523	0
GraniteAB_19_10	0.003504114	0.98800751	0.991511624	0.008488376	0
GraniteAB_19_11	0.001767988	0.986665513	0.988433501	0.011566499	0
GraniteAB_19_12	0.005351294	0.987248154	0.992599448	0.007400552	0
GraniteAB_19_13	0.002320681	0.98715111	0.989471791	0.010528209	0
GraniteAB_19_14	0.007803676	0.976876644	0.984680321	0.015319679	0
GraniteAB_19_15	0.003525077	0.984049081	0.987574157	0.012425843	0
GraniteAB_19_16	0.004194417	0.981268525	0.985462942	0.014537058	0
GraniteAB_19_17	0.004736805	0.98604533	0.990782135	0.009217865	0
GraniteAB_19_18	0.004447456	0.9845111	0.988958556	0.011041444	0
GraniteAB_19_19	0.004080223	0.981349828	0.985430052	0.014569948	0
GraniteAB_19_20	0.005452552	0.982249828	0.987702381	0.012297619	0
GraniteAB_19_21	0.004442881	0.979538892	0.983981773	0.016018227	0
GraniteAB_19_22	0.003523019	0.988237941	0.99176096	0.00823904	0
GraniteAB_19_23	0.005403232	0.978423715	0.983826947	0.016173053	0
